BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod,,Difference_Size
34860,BYO Beamish-Style Dry Stout (orig),Irish Dry Stout,79.18,1.0448,1.0086,2.91,40.58,40.19,96.2,90,1.02,65,All Grain,,17.02
55271,BYO Murphy's-Style Dry Stout (orig),Irish Dry Stout,79.18,1.0426,1.0097,2.46,35.6,35.4,96.2,90,1.0202,65,All Grain,,17.02
57848,BYO Guinness-Style Dry Stout (orig),Irish Dry Stout,79.18,1.045,1.0097,3.02,37.66,35.45,96.23,90,1.022,65,All Grain,,17.05
22239,MIER 6.0 IPA (Substitutions London  ON avail...,Irish Lager,79.19,1.0564,1.0085,5.2,10.12,12.94,96.31,60,1.0342,73,All Grain,,17.13
26110,Vienna Lager Test,Irish Lager,79.2,1.0574,1.0113,4.54,21.86,10.85,96.36,60,1.0377,70,All Grain,,17.16
58409,Irish Cream Ale Diel,Irish Cream Ale,79.21,1.0646,1.0095,6.07,19.07,4.3,96.39,60,1.0452,72,All Grain,,17.17
66427,Hops and dreams,Irish Pale Ale,79.25,1.0812,1.0129,8.08,24.54,4.39,96.44,90,1.0561,75,All Grain,,17.19
5221,Irish Red Ale 2nd edition,Irish Red Ale,79.27,1.06,1.014,4.17,25.15,14.03,96.45,90,1.0428,75,All Grain,,17.19
29009,Stout.,Irish Extra Stout,79.39,1.0731,1.0147,6.34,36.77,35.91,96.52,60,1.0499,75,All Grain,,17.13
169,Basic Irish Red Ale,Irish Red Ale,79.43,1.0634,1.0151,4.55,28.85,16.42,96.52,90,1.0395,75,All Grain,,17.09
397,Kilkenny Irish Irish Cream Ale Clone,Irish Red Ale,79.45,1.0653,1.0135,5.2,29.37,27.63,96.53,60,1.0469,70,All Grain,,17.08
575,I See Red Ale,Irish Red Ale,79.59,1.0621,1.0124,4.86,19.2,17.92,96.54,60,1.0379,70,BIAB,,16.94
872,Cream Of Three Crops,Irish Cream Ale,79.63,1.0442,1.0118,2.25,20.08,2.65,96.57,60,1.0403,70,All Grain,,16.94
1636,Belgian Pale Ale with Munich,Irish Pale Ale,79.63,1.0577,1.009,4.98,14.99,6.78,96.68,90,1.0398,70,All Grain,,17.04
2818,Honey Smoked Abbey Ale,Irish Pale Ale,79.67,1.0626,1.0115,5.32,25,6.29,96.73,60,1.0439,72,All Grain,,17.06
3164,2014 - 10/12 - Irish Red - v2,Irish Red Ale,79.7,1.0711,1.0186,4.83,27.07,18.61,96.73,60,1.0511,72,All Grain,,17.03
3363,Falconers Flight,Irish Cream Ale,79.7,1.0805,1.0138,7.54,42.27,5.53,96.75,60,1.0536,75,All Grain,,17.05
4210,Strawberry Irish Cream Ale,Irish Cream Ale,79.76,1.0518,1.0111,3.62,38.97,4.3,96.77,60,1.0346,70,All Grain,,17.01
5773,Irish Red - 5 gallon - Keith's,Irish Red Ale,79.76,1.0718,1.0147,6.19,18.89,7.58,96.79,60,1.0509,75,All Grain,,17.02
5856,Frankie's Irish Cream Ale,Irish Cream Ale,79.82,1.0642,1.0134,5.33,20.78,3.54,96.83,60,1.0394,70,All Grain,,17.01
5881,Jalepeno/Mango Irish Cream Ale,Irish Cream Ale,79.84,1.0606,1.0124,4.8,27.52,3.21,96.83,60,1.0365,68,All Grain,,16.99
6197,Irish Barber,Irish Red Ale,79.87,1.0783,1.0182,6.58,28.64,19.67,96.85,60,1.0417,72,All Grain,,16.98
7084,Divertimento,Irish Lager,79.94,1.0582,1.0122,4.32,27.12,11.95,96.86,60,1.0351,70,All Grain,,16.92
8188,Gimme Moher Stout!,Irish Dry Stout,79.99,1.0675,1.0175,4.32,38.17,40.79,96.87,60,1.0487,75,BIAB,,16.89
8707,Cream of Three Crops (Irish Cream Ale),Irish Cream Ale,80.1,1.0548,1.0089,4.59,18.47,3,96.92,90,1.0375,75,All Grain,,16.82
10625,Frankie's Irish Cream Ale,Irish Cream Ale,80.14,1.0642,1.0134,5.34,20.78,3.54,96.98,60,1.0394,70,All Grain,,16.84
12588,Jake's Smithwicks Clone,Irish Red Ale,80.16,1.0724,1.0171,5.84,23.5,23.77,97.04,60,1.0517,75,All Grain,,16.87
12606,Honey Irish Cream Ale,Irish Cream Ale,80.21,1.0709,1.0128,6.29,19.1,6.51,97.1,60,1.0497,80,All Grain,,16.89
13526,Petrus Barrel Kombucha,Irish Pale Ale,80.22,1.0756,1.0157,6.7,26.03,3.54,97.15,80,1.05,78,All Grain,,16.93
14389,Extra Innings Billy,Irish Lager,80.29,1.0547,1.0088,4.47,20.81,8.94,97.16,90,1.0375,73,All Grain,,16.87
14819,Half-Pipe Medium Distance Hero,Irish Cream Ale,80.29,1.065,1.0151,4.74,15.06,3.27,97.22,90,1.0412,72,All Grain,,16.94
15106,Blondie Blonderson,Irish Cream Ale,80.41,1.0665,1.0153,5.08,17.9,7.63,97.26,60,1.0482,70,All Grain,,16.84
15837,The American cream,Irish Cream Ale,80.43,1.0477,1.0063,3.79,20,4.29,97.27,60,1.0308,80,BIAB,,16.83
16893,Red Evil Twin,Irish Red Ale,80.47,1.0756,1.0148,6.69,24.16,18.57,97.3,90,1.0515,70,All Grain,,16.83
17010,Riverbank red,Irish Red Ale,80.48,1.0653,1.0135,5.26,25.21,14.61,97.4,60,1.0469,75,All Grain,,16.92
17165,Cream of the Crop,Irish Cream Ale,80.48,1.0722,1.0053,7.23,34.3,3.42,97.41,90,1.0476,70,All Grain,,16.92
17553,Irish Cream Ale - 5 gallon,Irish Cream Ale,80.52,1.0633,1.0118,5.53,21.12,3.92,97.45,60,1.0397,65,All Grain,,16.93
18143,Peach Pit Saison,Irish Pale Ale,80.55,1.0659,1.0116,5.81,24.35,5.21,97.64,60,1.0465,70,All Grain,,17.08
18215,4th of July Irish Cream Ale,Irish Cream Ale,80.74,1.056,1.0102,4.54,21.4,4.2,97.67,60,1.0388,75,BIAB,,16.93
18551,Jefito Modelo,Irish Lager,80.75,1.0743,1.0186,5.54,26.27,12.07,97.67,90,1.0496,75,Partial Mash,,16.92
19146,Oyster Stout,Irish Dry Stout,80.78,1.0601,1.014,4.2,46.17,34.77,97.73,60,1.0371,65,All Grain,,16.95
19286,Brogue Kick (2015),Irish Red Ale,80.84,1.0688,1.0153,5.42,27.34,17.08,97.74,60,1.0445,70,All Grain,,16.9
20052,Son of Bud,Irish Cream Ale,80.85,1.0509,1.0064,4.09,20,2.52,97.74,60,1.0323,80,BIAB,,16.89
20333,Vega Baja Red Ale,Irish Red Ale,80.88,1.0666,1.0153,5.18,27.06,17.6,97.79,60,1.0413,75,All Grain,,16.91
20381,Belgian Pale Ale,Irish Pale Ale,80.91,1.0563,1.008,5.12,23.74,11.39,97.82,60,1.0325,66.3,All Grain,,16.9
21051,Tom's Red,Irish Red Ale,80.95,1.0665,1.0153,5.13,24.39,18.42,97.82,60,1.0483,70,All Grain,,16.87
21585,Airlann,Irish Dry Stout,80.98,1.0496,1.0129,2.9,35.26,37.73,97.83,60,1.0334,72,All Grain,,16.84
21717,2015 CTBB Light/Low Patersbier,Irish Pale Ale,81.01,1.0574,1.0113,4.65,22.22,4.78,97.85,90,1.0402,66,All Grain,,16.84
21749,Laker 33 Kareem Ale v. 2,Irish Cream Ale,81.15,1.0631,1.0094,5.81,21.08,3.27,97.87,60,1.0437,70,All Grain,,16.71
21799,42. Brewgge Pale Ale,Irish Pale Ale,81.17,1.0647,1.0167,4.29,27.47,11.73,97.9,60,1.0474,72,All Grain,,16.73
22652,Vienna Lager,Irish Lager,81.2,1.0679,1.0145,5.53,28.12,14.5,97.94,60,1.0481,72,All Grain,,16.75
22693,Red Head Ale,Irish Red Ale,81.24,1.0617,1.0141,4.44,24.3,16.74,98,60,1.0382,70,All Grain,,16.75
22955,Pearl Jam Irish Cream Ale,Irish Cream Ale,81.35,1.067,1.0127,5.72,17.88,3.64,98.02,60,1.0468,65,All Grain,,16.67
23085,Gaelic Sparkler Ale,Irish Red Ale,81.39,1.0808,1.018,7.28,74.52,13.69,98.04,60,1.0547,70,All Grain,,16.64
23156,Heather,Irish Pale Ale,81.48,1.0502,1.0099,3.47,25.65,6.09,98.07,90,1.0283,75,All Grain,,16.6
23733,German Lager Test,Irish Lager,81.51,1.055,1.0067,4.91,16.98,10.13,98.1,60,1.0374,73,All Grain,,16.58
24460,Irish Brown Ale,Irish Red Ale,81.54,1.0616,1.015,4.26,24.74,15.45,98.18,60,1.0383,70,All Grain,,16.64
25577,Irish Stout,Irish Dry Stout,81.56,1.0452,1.0086,3.05,40.71,40.9,98.23,60,1.0295,75,BIAB,,16.67
25602,Keetna's Copper Ale,Irish Red Ale,81.68,1.065,1.0152,4.91,31.9,15.93,98.29,60,1.0472,75,All Grain,,16.61
25649,Irish Red,Irish Red Ale,81.75,1.052,1.01,3.75,24.23,10.27,98.31,60,1.0298,70,All Grain,,16.57
25820,Sweet Dreams,Irish Cream Ale,81.81,1.0604,1.0132,4.5,20.72,3.16,98.42,60,1.0368,65,All Grain,,16.6
25839,Full Curl Irish Cream Ale,Irish Cream Ale,81.86,1.0626,1.0114,5.23,19.17,2.9,98.47,60,1.0439,80,All Grain,,16.61
25920,NCD'ish Irish Red Ale,Irish Red Ale,81.9,1.0766,1.0128,7.11,32.31,13.4,98.49,60,1.0498,70,Partial Mash,,16.59
26435,Blue Danube Kˆlsch,Irish Lager,81.94,1.0667,1.0145,5.34,27.42,8.72,98.5,90,1.0471,65,All Grain,,16.56
26737,Cassidy's red,Irish Red Ale,81.94,1.0723,1.017,5.79,29.79,13.52,98.54,60,1.0474,75,All Grain,,16.6
27710,Double batch concentrated,Irish Cream Ale,81.97,1.0889,1.02,8.56,72.45,5.03,98.6,60,1.0631,70,All Grain,,16.64
27962,Better Maroon Than Red,Irish Red Ale,82,1.065,1.0151,4.81,27.71,16.95,98.62,60,1.0472,73,All Grain,,16.62
29521,German Hybrid,Irish Cream Ale,82.03,1.0633,1.015,4.36,24.77,9.84,98.69,60,1.0458,70,All Grain,,16.65
29569,Irish Red Ale,Irish Red Ale,82.05,1.0665,1.0144,5.1,26.23,17.72,98.69,75,1.0471,76,Partial Mash,,16.64
29786,Irish Stout,Irish Dry Stout,82.1,1.0515,1.0119,3.39,45.01,38.75,98.72,60,1.0302,70,All Grain,,16.62
29936,Gooder Than Guinnes (AIH),Irish Dry Stout,82.1,1.0526,1.0119,3.33,33.58,27.59,98.74,60,1.0364,75,All Grain,,16.64
30334,Lollygagger Lemongrass Gingerale,Irish Red Ale,82.11,1.0684,1.0106,6.27,29.25,15.24,98.74,75,1.0477,75,All Grain,,16.63
30438,Belgian Pale 1,Irish Pale Ale,82.16,1.0622,1.0125,4.9,28.58,12.04,98.76,60,1.044,70,All Grain,,16.6
30547,HeberHaus Belgian Pale Ale,Irish Pale Ale,82.19,1.0639,1.0134,5.07,28.46,12.55,98.76,60,1.0456,80,All Grain,,16.58
30581,Irish Redhead,Irish Red Ale,82.22,1.058,1.0149,3.54,20.54,14.67,98.82,60,1.0356,65,All Grain,,16.6
30651,Blue Moon Belgian White,Irish Pale Ale,82.23,1.0637,1.0134,4.91,17.93,4.17,98.87,90,1.0393,70,All Grain,,16.64
30853,Irish Cream Ale,Irish Cream Ale,82.28,1.0709,1.0128,6.35,19.51,2.97,98.92,90,1.0497,75,BIAB,,16.64
31298,FBB Irish Cream Ale,Irish Cream Ale,82.3,1.0594,1.0091,5.25,34.63,3.54,98.94,60,1.0343,70,All Grain,,16.64
31312,Belgian Pale attempt 3 (final),Irish Pale Ale,82.37,1.0705,1.0146,6.01,34.78,9.35,98.94,60,1.0458,75,All Grain,,16.57
31908,Vienna Lager,Irish Lager,82.38,1.0612,1.0083,5.8,30.87,16.76,98.97,60,1.0419,70,All Grain,,16.59
31925,Better Red Than Dead,Irish Red Ale,82.44,1.065,1.0151,4.86,26.39,17,98.98,90,1.0472,65,All Grain,,16.54
31954,Vienna Lager,Irish Lager,82.45,1.0747,1.0164,6.36,35.11,15.47,98.99,75,1.051,65,All Grain,,16.54
32004,Dr. Rudi,Irish Cream Ale,82.46,1.0631,1.0094,5.81,27.51,3.45,99,60,1.042,75,All Grain,,16.53
32287,Legacy Clone,Irish Red Ale,82.51,1.0841,1.0189,7.61,47.85,15.62,99.07,60,1.0608,80,All Grain,,16.56
32426,About Stout,Irish Extra Stout,82.51,1.0727,1.0163,6.06,43.86,32.71,99.13,60,1.0517,70,All Grain,,16.61
32836,Noble Hop Experiment,Irish Cream Ale,82.52,1.036,1.0085,1.47,47.02,4.11,99.14,75,1.02,70,All Grain,,16.62
32948,HeberHaus Irish Cream Ale,Irish Cream Ale,82.52,1.0574,1.0113,4.58,18.05,4.17,99.14,60,1.039,75,All Grain,,16.62
33874,Jordan's Piss v1,Irish Cream Ale,82.53,1.0628,1.0115,5.47,18,3.11,99.16,60,1.0439,70,All Grain,,16.63
34850,Yellow Diamond Belgian Pale Ale,Irish Pale Ale,82.58,1.0693,1.0137,5.99,41.62,10.07,99.18,90,1.0443,70,All Grain,,16.6
35547,Peppy Pep Pils,Irish Cream Ale,82.66,1.0775,1.0108,7.42,35.68,4.07,99.2,60,1.0504,75,All Grain,,16.53
35761,El Oso Maricon,Irish Lager,82.7,1.0563,1.0079,5.1,28.36,15.21,99.23,60,1.0386,70,All Grain,,16.53
35935,Husker Red Ale,Irish Red Ale,82.86,1.0633,1.015,4.36,24.24,17.33,99.23,90,1.0384,70,BIAB,,16.37
36054,Irish Cream Ale III,Irish Cream Ale,82.86,1.0599,1.0149,4.04,17.06,3.35,99.24,60,1.0431,70,BIAB,,16.37
36081,Special light,Irish Cream Ale,82.89,1.0522,1.0088,3.98,16.1,3.29,99.25,60,1.0282,70,All Grain,,16.37
36218,Vienna Lager,Irish Lager,82.95,1.065,1.0143,4.85,28.49,10.57,99.29,90,1.0457,73,BIAB,,16.34
36260,Blue Moon,Irish Pale Ale,82.96,1.071,1.0116,6.56,17.93,7.53,99.31,90,1.0454,70,All Grain,,16.35
36432,The Chaser,Irish Cream Ale,83.01,1.0599,1.0149,4.08,25.87,3.23,99.35,60,1.0372,70,All Grain,,16.33
36568,Plebeian Stout,Irish Extra Stout,83.1,1.0706,1.0137,6.05,46.94,39.06,99.36,90,1.0443,70,All Grain,,16.27
36623,La Brabanconne,Irish Pale Ale,83.1,1.0692,1.0146,5.85,26.83,13.48,99.41,60,1.0499,75,All Grain,,16.31
37426,Flatlander Crystal Light,Irish Cream Ale,83.15,1.0465,1.0109,2.85,14.54,2.69,99.42,60,1.0269,70,All Grain,,16.27
37434,Riverbank Red,Irish Red Ale,83.26,1.0653,1.0135,5.26,24.87,14.61,99.5,60,1.0469,75,All Grain,,16.24
37841,Shades of Red,Irish Red Ale,83.26,1.06,1.014,4.16,27.51,11.78,99.5,90,1.0428,75,All Grain,,16.24
38769,EPIC the Red,Irish Red Ale,83.28,1.0859,1.0194,8.38,75.43,19.2,99.51,60,1.061,80,All Grain,,16.24
39373,Flanders Red,Irish Red Ale,83.28,1.0643,1.0115,5.49,20.99,11.21,99.53,90,1.0454,70,BIAB,,16.25
39726,DipUrWick Red Ale,Irish Red Ale,83.31,1.0679,1.0145,5.59,19.98,16.5,99.65,60,1.043,75,All Grain,,16.34
40196,Righteous Red,Irish Red Ale,83.33,1.0765,1.0157,6.63,24.52,19.64,99.67,60,1.0501,80,All Grain,,16.34
40277,Farmers tan Irish Cream Ale,Irish Cream Ale,83.36,1.0663,1.0159,4.74,18.61,4.08,99.75,60,1.0473,72,All Grain,,16.4
41306,Session Irish Cream Ale,Irish Cream Ale,83.36,1.0538,1.0138,3.46,28.39,3.87,99.82,70,1.0381,65,All Grain,,16.46
41577,American Red Ale (IBU Challenge #4),Irish Red Ale,83.36,1.0672,1.0106,6.19,16.27,16.81,99.83,60,1.0401,75,All Grain,,16.47
41603,Union Jack Red Irish Ale,Irish Red Ale,83.42,1.0813,1.0191,7.13,52.43,14.62,99.85,60,1.0553,70,All Grain,,16.42
41746,Willamette Irish Cream Ale,Irish Cream Ale,83.44,1.0652,1.0143,5.18,20.04,5.84,99.95,60,1.0471,70,All Grain,,16.51
42648,Irish Red Ale,Irish Red Ale,83.45,1.0636,1.0143,4.8,22.19,11.7,99.95,60,1.0394,70,All Grain,,16.5
42654,Riverwest Stein 2.0,Irish Lager,83.51,1.0549,1.0067,4.85,21.07,12.99,100.1,60,1.0359,75,All Grain,,16.59
42737,Red Beer,Irish Red Ale,83.53,1.0683,1.0106,6.22,24.05,15.84,100.16,90,1.0421,79,All Grain,,16.63
42802,Candisyrup leffe,Irish Pale Ale,83.63,1.0801,1.0166,7.28,28.05,4.37,100.18,90,1.0539,70,BIAB,,16.55
43461,Irish Cream Ale Fizzy Yellow Beer,Irish Cream Ale,83.72,1.0578,1.009,5.18,21.33,4.52,100.39,75,1.0375,70,All Grain,,16.66
43646,Want a Wein,Irish Lager,83.72,1.0638,1.0134,4.97,40.52,5.54,100.41,60,1.0498,76,BIAB,,16.68
44286,Little Red Riding Ale,Irish Red Ale,83.76,1.0734,1.0107,6.78,29.46,13.84,100.5,60,1.0464,70,BIAB,,16.74
45799,Dream Sail Irish Cream Ale,Irish Cream Ale,83.76,1.0673,1.0096,6.27,15.23,2.81,100.52,60,1.0375,80,All Grain,,16.77
45897,Bob's Irish Cream Ale,Irish Cream Ale,83.8,1.0628,1.0105,5.44,20.08,3.39,100.56,60,1.0376,65,BIAB,,16.75
46428,Dry Irish Stout,Irish Dry Stout,83.82,1.0538,1.013,3.48,25.08,39.21,100.58,60,1.032,70,All Grain,,16.76
46879,Cavan County Red,Irish Red Ale,83.86,1.0781,1.019,6.41,20.44,17.9,100.63,60,1.061,74,All Grain,,16.77
47434,Little Red Riding Ale,Irish Red Ale,83.89,1.0734,1.0107,6.78,29.46,13.84,100.67,60,1.0464,70,BIAB,,16.79
47794,FundamentAle,Irish Cream Ale,83.9,1.0623,1.0125,4.98,16.79,3.68,100.72,60,1.044,65,All Grain,,16.82
47962,Dry Irish Stout,Irish Dry Stout,83.92,1.0537,1.013,3.36,28.33,24.82,100.75,60,1.0367,70,All Grain,,16.84
48561,Kolsh NZP,Irish Cream Ale,83.93,1.0749,1.0147,6.55,38.02,3.54,100.8,90,1.0494,80,All Grain,,16.87
49358,Dry American Stout,Irish Dry Stout,83.99,1.0684,1.0106,6.28,14.48,30.94,100.8,90,1.0421,77,BIAB,,16.81
49778,Ruabeoir,Irish Red Ale,84.02,1.0805,1.0138,7.53,28.36,25.32,100.82,60,1.0531,75,All Grain,,16.8
49967,Irish red,Irish Red Ale,84.05,1.068,1.0145,5.59,24.32,19.28,100.82,60,1.043,70,All Grain,,16.77
50117,NB West coast radical red ale,Irish Red Ale,84.06,1.0647,1.0158,4.38,43.51,18.53,100.88,60,1.0414,70,All Grain,,16.82
50502,The Cream Police,Irish Cream Ale,84.11,1.0513,1.013,3.17,19.56,3.16,100.94,90,1.0353,70,All Grain,,16.83
51027,Smithwicks,Irish Red Ale,84.13,1.0616,1.015,4.32,23.61,21.49,100.94,60,1.0445,75,All Grain,,16.81
52191,Dawson All grains red,Irish Red Ale,84.14,1.0381,1.0085,2.09,26.75,11.53,100.95,60,1.0246,65,All Grain,,16.81
53416,Coosaw Irish Cream Ale,Irish Cream Ale,84.15,1.075,1.0138,6.68,18.5,3.54,101.03,90,1.0479,70,All Grain,,16.88
53769,Mexican Lager,Irish Lager,84.16,1.0717,1.0147,6.12,36.06,15.81,101.09,75,1.0482,80,All Grain,,16.94
54818,Irish Stout,Irish Dry Stout,84.18,1.05,1.011,3.3,27.85,39.05,101.12,60,1.0315,75,All Grain,,16.94
54853,Bone Idle stout,Irish Dry Stout,84.23,1.0785,1.0179,6.86,36.08,48.81,101.15,60,1.0559,65,All Grain,,16.92
55733,Shamrock Irish Finish,Irish Red Ale,84.27,1.0618,1.0141,4.53,22.07,12.24,101.22,60,1.0444,65,All Grain,,16.95
56597,Sweet Milk Stout,Irish Red Ale,84.28,1.0686,1.0181,4.32,22.16,42.49,101.22,60,1.0448,68,BIAB,,16.94
57583,Fresh Hopped Irish Cream Ale,Irish Cream Ale,84.31,1.0607,1.0114,4.83,14.69,3.72,101.23,60,1.0422,75,All Grain,,16.92
57690,Ol' Trout Stout,Irish Dry Stout,84.33,1.058,1.0139,3.98,32.32,35.58,101.33,60,1.037,70,All Grain,,17
57702,Bill's Irish Cream Ale,Irish Cream Ale,84.34,1.0602,1.0132,4.47,20.02,4.18,101.36,60,1.0425,75,All Grain,,17.03
57926,Rampage Red 2.0,Irish Red Ale,84.48,1.0707,1.0137,6.19,37.88,15.47,101.38,60,1.0479,75,All Grain,,16.9
58590,Maroon #1,Irish Red Ale,84.53,1.0537,1.0138,3.27,26.23,13.74,101.41,90,1.0381,70,All Grain,,16.88
58602,Nefarious Neelie,Irish Red Ale,84.54,1.0714,1.0162,5.81,27.93,17.07,101.45,60,1.0509,70,All Grain,,16.91
59018,Colina de Cuervo Oscura,Irish Lager,84.56,1.071,1.0116,6.5,54.85,6.03,101.46,70,1.0478,74,BIAB,,16.9
59100,Sl·inte mhaith!,Irish Extra Stout,84.61,1.0745,1.0177,6.03,42.17,30.5,101.48,60,1.0529,70,All Grain,,16.88
59949,Irish Red,Irish Red Ale,84.68,1.0677,1.0145,5.42,19.66,15.28,101.55,60,1.0383,70,All Grain,,16.87
60219,Ceasar's Vienna Amber,Irish Lager,84.72,1.0591,1.0103,4.8,25.39,6.25,101.55,90,1.0345,75,All Grain,,16.83
60486,All Grain Irish Cream Ale,Irish Cream Ale,84.73,1.0523,1.0076,4.13,13.76,3.49,101.55,75,1.028,70,All Grain,,16.83
61029,Vanilla Irish Cream Ale,Irish Cream Ale,84.76,1.0731,1.0147,6.33,22.55,5.17,101.61,60,1.0494,63,All Grain,,16.85
61707,Over the Hills and far away...,Irish Red Ale,84.78,1.0478,1.0138,2.21,25.29,10.47,101.68,60,1.0355,70,BIAB,,16.91
61866,Blonde and Ditzy,Irish Cream Ale,84.79,1.0453,1.0071,3.1,21.69,4.28,101.7,60,1.0294,70,All Grain,,16.91
62299,Beautification ph1 from Vinnie,Irish Pale Ale,84.8,1.064,1.0134,5.15,29.02,3.86,101.72,60,1.0426,70,All Grain,,16.92
63353,Chocolate Milk Stout,Irish Dry Stout,84.82,1.0725,1.0163,5.96,35.9,40.33,101.75,90,1.0516,65,BIAB,,16.93
64592,Berries and Cream,Irish Cream Ale,84.86,1.0569,1.0122,4.17,11.06,3.44,101.76,60,1.029,73,BIAB,,16.9
66170,Irish red,Irish Red Ale,84.87,1.0634,1.015,4.5,28.85,16.42,101.79,60,1.0395,75,All Grain,,16.92
66433,Red Christmas,Irish Red Ale,84.93,1.064,1.0134,5.2,28.85,18.73,101.89,60,1.0277,75,BIAB,,16.97
67885,Vienna Ale Trickery,Irish Lager,84.94,1.0663,1.0159,4.7,21.27,13.03,101.9,60,1.0483,80,All Grain,,16.96
68846,NB - Irish Red Ale,Irish Red Ale,84.97,1.0502,1.0099,3.48,22.03,9.99,102.04,60,1.0328,75,All Grain,,17.06
71700,Red Ale,Irish Red Ale,85.03,1.0721,1.0107,6.77,71.08,18.24,102.04,60,1.0464,65.6,All Grain,,17.02
71966,D&D Strawberry Shortcake Irish Cream Ale,Irish Cream Ale,85.04,1.0739,1.0128,6.63,38.73,3.59,102.06,60,1.0514,70,All Grain,,17.02
72018,Jermiah Red Clone,Irish Red Ale,85.06,1.0843,1.0192,7.67,30.74,17.38,102.26,60,1.0577,75,BIAB,,17.2
72224,Red Robin,Irish Red Ale,85.13,1.0602,1.0132,4.4,41.18,15.86,102.27,60,1.0425,75,All Grain,,17.14
72829,'Belgian' Blonde S.M.A.S.H.,Irish Pale Ale,85.15,1.0755,1.0173,6.34,20.08,3.74,102.44,90,1.0539,70,BIAB,,17.29
73442,'Belgian' Blonde S.M.A.S.H.,Irish Pale Ale,85.17,1.0755,1.0173,6.33,20.08,3.74,102.46,60,1.0539,70,BIAB,,17.29
42299,1,Irish Pale Ale,85.18,1.0713,1.017,5.67,46.97,18.82,102.47,60,1.0496,70,All Grain,,17.29
58346,Throwback Irish Cream Ale,Irish Cream Ale,85.37,1.0758,1.0138,6.82,22.86,3.39,102.51,60,1.0494,70,BIAB,,17.14
32442,2017 - 03/28/17 - Irish Red 2016,Irish Red Ale,85.37,1.0697,1.0108,6.57,22.86,19.85,102.52,60,1.045,69,All Grain,,17.14
69800,Vienna Alt,Irish Lager,85.44,1.0732,1.0155,6.43,22.96,9.56,102.54,90,1.0545,70,All Grain,,17.1
469,Irish Red Ale (8 weeks),Irish Red Ale,85.44,1.0601,1.0141,4.36,42.4,19.98,102.54,60,1.0429,70,All Grain,,17.1
1991,Vienna Lager,Irish Lager,85.47,1.0567,1.0131,4.1,24.83,16.03,102.57,90,1.0407,75,BIAB,,17.11
4329,Nenna Irish Red Ale,Irish Red Ale,85.48,1.0555,1.0121,4.05,22.62,11.02,102.59,60,1.0273,68,All Grain,,17.12
7583,Chimay Doree,Irish Pale Ale,85.55,1.0532,1.0111,3.93,19.6,6.62,102.6,75,1.0286,70,All Grain,,17.04
10180,Summer time,Irish Cream Ale,85.59,1.062,1.0133,4.74,18.86,3.08,102.6,60,1.0408,65,All Grain,,17.01
11511,Irish Cream Ale,Irish Cream Ale,85.66,1.0531,1.01,3.87,16.4,4.96,102.65,60,1.0362,75,All Grain,,16.99
19291,Einer ¯l,Irish Pale Ale,85.67,1.0756,1.0156,6.55,59.99,11.5,102.71,90,1.0588,78,All Grain,,17.03
23793,Xie's No. 2 -Beginner's Belgian Pale Ale,Irish Pale Ale,85.69,1.0687,1.0168,5.04,27.77,8.25,102.75,60,1.0396,70,All Grain,,17.06
31118,Saison,Irish Pale Ale,85.73,1.0675,1.0168,4.74,39.09,9.89,102.8,60,1.0461,70,All Grain,,17.06
31568,Belgian Pale Ale Orvie Home,Irish Pale Ale,85.75,1.0685,1.0022,7.29,36.87,8.34,102.87,75,1.0358,70,All Grain,,17.12
35717,Creamale Saaz,Irish Cream Ale,85.77,1.0561,1.0089,4.78,16.61,3.47,102.89,80,1.0489,70,All Grain,,17.11
38352,Vienna Gold,Irish Lager,85.8,1.0597,1.0082,5.63,25.29,10.81,102.89,60,1.0374,70,All Grain,,17.09
39310,Cream,Irish Cream Ale,85.81,1.0562,1.0079,4.99,16.06,3.47,102.96,80,1.0489,70,All Grain,,17.15
41406,2016/11/20 - Wotton Red,Irish Red Ale,85.83,1.0604,1.0132,4.58,28.88,13.87,102.98,60,1.0368,70,All Grain,,17.14
41996,Fred is Irish and Red,Irish Red Ale,85.85,1.0602,1.0132,4.43,19.29,13.81,102.98,60,1.0425,75,BIAB,,17.13
43539,Really Light Red Ale,Irish Red Ale,85.91,1.0701,1.0161,5.6,23.12,7.01,103,60,1.0516,70,All Grain,,17.1
43735,#5 Irish Cream Ale,Irish Cream Ale,85.91,1.0558,1.0102,4.33,21.25,3.26,103.04,60,1.0345,81,All Grain,,17.13
44487,Thisty Point Red Ale,Irish Red Ale,85.95,1.0506,1.0087,3.81,23.87,11.86,103.06,90,1.031,70,BIAB,,17.1
44725,Blonde ale,Irish Cream Ale,86.05,1.0555,1.012,3.99,33.25,8.28,103.07,60,1.0378,65,All Grain,,17.02
45287,Guiness Drought - 1833 ed,Irish Dry Stout,86.06,1.05,1.011,3.27,40.68,30.38,103.09,60,1.0285,61,BIAB,,17.02
47063,Rousse Irlandaise,Irish Red Ale,86.07,1.0552,1.0131,3.85,25.75,17.69,103.11,60,1.0442,72,All Grain,,17.04
47592,Nice By Nature,Irish Pale Ale,86.07,1.0772,1.0148,6.99,25.2,6.6,103.11,60,1.0526,80,All Grain,,17.04
