review_overall,review_aroma,review_appearance,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid,,review_average_weighted
4.5,4,4.5,Irish Dry Stout,4.5,4,Out Of Bounds Stout,6.02,1830,,4.2
4.5,4.5,4.5,Irish Pale Ale,4.5,4,Duvel Single,5.71,45379,,4.3
4.5,4,4,Irish Lager,4.5,4,FireBrick,7.93,2032,,4.1
4.5,4.5,4,Irish Pale Ale,4.5,4,Fleur,7.55,50276,,4.3
4.5,3.5,3,Irish Red Ale,4,4,Great Lakes Conway's Irish Ale,5.16,5096,,3.7
4,4,3,Irish Lager,3.5,4,Oktoberfest,6.09,13824,,3.7
4,3.5,4.5,Irish Dry Stout,3.5,4,Murphy's Irish Stout,7.65,703,,3.8
4,2.5,2.5,Irish Red Ale,3,3,Murphy's Irish Red Beer,6.27,913,,2.8
4,3,4,Irish Cream Ale,3.5,3.5,Spotted Cow,5.08,1963,,3.5
4,4,3.5,Irish Pale Ale,4,4,Stone Soup,6.55,35281,,3.9
4,3.5,3,Irish Lager,4,3.5,Special Amber,6.95,97,,3.5
4,4,3,Irish Dry Stout,3.5,4,Snake Chaser,5.65,15884,,3.7
4,3,3.5,Irish Lager,3,3.5,Samuel Adams Boston Lager,5.76,104,,3.2
4,5,4,Irish Pale Ale,4,4,Rare Vos (Amber Ale),7.61,593,,4.2
4,2,3,Irish Pale Ale,3,2.5,Blue Moon Pale Moon,6.31,42887,,2.6
4,3,3.5,Irish Red Ale,3.5,3,Hook & Ladder Pipe & Drum Irish Ale,4.55,45968,,3.2
4,4.5,3.5,Irish Pale Ale,4.5,4,Demolition,6.79,49003,,4.2
3.5,3.5,3.5,Irish Lager,3.5,3.5,Horny Goat Red Vixen,7.59,53984,,3.5
3.5,3.5,4.5,Irish Dry Stout,3.5,3,O'Hara's Irish Stout,5.65,1751,,3.5
3.5,4,3.5,Irish Dry Stout,4.5,4.5,Irish Style Stout,5,3052,,4.2
3.5,2.5,3.5,Irish Lager,3,2.5,Dos Equis Amber Lager,5.58,171,,2.8
3.5,4,4,Irish Pale Ale,3,3.5,Bruegel Amber Ale,3.31,1645,,3.6
3.5,4,4,Irish Dry Stout,3.5,3.5,Oyster Stout,5.93,5686,,3.7
3.5,3,3,Irish Pale Ale,3.5,3.5,Steenbrugge Blond,4.67,43829,,3.3
3,4,4,Irish Red Ale,4,3.5,Samuel Adams Irish Red,7.64,38365,,3.8
3,2.5,3.5,Irish Red Ale,3,3,O'Hara's Irish Red,6.48,22181,,3
3,3,4.5,Irish Extra Stout,3,3,Black,6.77,61612,,3.3
2,3,2.5,Irish Cream Ale,3.5,3,Summer Solstice Cerveza Crema,6.01,23506,,3
4.5,3.5,4.5,Irish Dry Stout,4.5,4,Murphy's Irish Stout,5.47,703,,4.1
4,4,4,Irish Cream Ale,4,4,Sweet Action,5.12,22193,,4
4,4,4,Irish Dry Stout,4,4,Oyster Stout,6.47,5686,,4
3.5,3.5,3.5,Irish Pale Ale,3.5,3,Leffe Blonde,6.57,2137,,3.3
4.5,4,3.5,Irish Red Ale,4,4.5,Rebellion Red,5.12,28816,,4.1
4.5,4,4.5,Irish Red Ale,4,4.5,Great Lakes Conway's Irish Ale,6.2,5096,,4.2
4.5,4.5,4.5,Irish Lager,4.5,4.5,Great Lakes Eliot Ness,6.83,229,,4.5
4.5,4.5,4.5,Irish Pale Ale,4,4.5,"Luciérnaga, The Firefly",6.29,20524,,4.4
4.5,4.5,4,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),6.4,593,,4.3
4,3.5,4,Irish Red Ale,4,3.5,Smithwick's Ale,6.02,1822,,3.7
4,4,3.5,Irish Lager,3.5,4,Samuel Adams Boston Lager,5.14,104,,3.8
4,4,4,Irish Pale Ale,4,4,Raftman,6.81,793,,4
4,4,4,Irish Dry Stout,4,4,Kiss My Blarney Stone Stout,7.48,11214,,4
4,3,3,Irish Lager,3,3,Dos Equis Amber Lager,5.22,171,,3
3.5,3.5,4,Irish Pale Ale,4,3.5,Leffe Blonde,6.59,2137,,3.7
3.5,3,3,Irish Red Ale,3.5,3,Irish Setter Red,5.71,1973,,3.1
4.5,4.5,4,Irish Red Ale,4,4.5,Hook & Ladder Pipe & Drum Irish Ale,4.5,45968,,4.3
4,3,3,Irish Pale Ale,3.5,3.5,Stone Soup,5.36,35281,,3.3
4,3,3,Irish Cream Ale,4,3,Spotted Cow,6.87,1963,,3.3
4,4,3.5,Irish Lager,4,4,Great Lakes Eliot Ness,5.22,229,,3.9
4,3,4,Irish Cream Ale,2.5,3,Genesee Irish Cream Ale,6.28,1376,,3
4,3,3.5,Irish Dry Stout,3.5,3.5,Dark Starr Stout,5.97,29995,,3.4
3,4,4,Irish Cream Ale,4,3,Derailed Black Cherry Ale,4.98,53416,,3.7
4.5,5,4.5,Irish Pale Ale,4.5,5,Orval Trappist Ale,8.6,129,,4.8
3.5,4,4,Irish Dry Stout,3.5,3.5,Out Of Bounds Stout,4.26,1830,,3.7
3,2.5,3,Irish Pale Ale,3,3,Saint Druon De Sebourg (French Abbey Ale),6.58,7470,,2.9
4.5,3.5,3,Irish Cream Ale,4,3.5,Spotted Cow,7.64,1963,,3.5
4.5,4,5,Irish Lager,5,4,Great Lakes Eliot Ness,6.58,229,,4.5
4.5,4.5,5,Irish Pale Ale,3.5,4,Orval Trappist Ale,7.15,129,,4.2
4,4,4,Irish Dry Stout,4,4,Black 47 Stout,5.82,1255,,4
4,3.5,4,Irish Cream Ale,4,3.5,Honey Irish Cream Ale,7.13,365,,3.7
4,3.5,3,Irish Pale Ale,3.5,3.5,Loft,6.56,5170,,3.4
4,4.5,4,Irish Dry Stout,4,4.5,Kozlov Stout,5.55,3096,,4.3
4,3,4.5,Irish Cream Ale,4,3.5,Kiwanda Irish Cream Ale,3.35,8948,,3.7
4,4,3,Irish Pale Ale,4,4,Triple Cuvee,6.21,14108,,3.8
4,3.5,4,Irish Lager,4,4,Squatters Irish Lager,8.1,3795,,3.9
4,3.5,4,Irish Lager,4,3.5,Samuel Adams Boston Lager,5.22,104,,3.7
4,4,5,Irish Pale Ale,5,4.5,Rare Vos (Amber Ale),4.16,593,,4.6
4,3.5,4,Irish Pale Ale,4,4,Raftman,7.6,793,,3.9
4,3.5,4,Irish Pale Ale,4,4,Porch Swing Single Ale,4.92,1916,,3.9
3.5,3.5,4,Irish Dry Stout,3,4,Out Of Bounds Stout,4.9,1830,,3.6
3.5,3,4,Irish Lager,4,3,Karl Strauss Amber Lager,7.41,5087,,3.5
3.5,3,3,Irish Pale Ale,4,3,Jan Van Gent,5.71,1687,,3.3
3.5,3.5,4,Irish Extra Stout,4,3.5,Whitstable Oyster Stout,7.36,1362,,3.7
3.5,2.5,3,Irish Red Ale,3,3,Danny's Irish Style Red Ale,6.06,40898,,2.9
3.5,3.5,4,Irish Pale Ale,4,4,Bruegel Amber Ale,6.06,1645,,3.9
3,3,3,Irish Dry Stout,3,2.5,Curley's Irish Stout,7.69,540,,2.8
3,2.5,3,Irish Cream Ale,3,3,California Gold Blonde Ale,4.42,28761,,2.9
3,2,3.5,Irish Cream Ale,3,3,Henry Weinhard's Blue Boar Ale,4.31,2765,,2.9
3,2.5,3,Irish Cream Ale,3,3,Genesee Irish Cream Ale,6.2,1376,,2.9
3,2.5,3,Irish Lager,2,2.5,Dos Equis Amber Lager,6.02,171,,2.5
3,3,3.5,Irish Lager,3,3,Aass Juleøl,7.52,8027,,3.1
3,2.5,3,Irish Red Ale,3,2.5,Caffrey's Irish Ale,5.05,825,,2.7
3,3,3,Irish Lager,3,3,Amber,5.23,5,,3
3,3.5,3,Irish Red Ale,3,3.5,Red Trolley Ale,4.63,6428,,3.3
3,3,3,Irish Lager,3,3,Ybor Gold Amber Lager,7.13,18290,,3
3,2.5,4,Irish Cream Ale,3,3,Thunder Canyon Sandstone Irish Cream Ale,6.79,13033,,3.1
3,2.5,3,Irish Red Ale,3,3,Red Rock Irish Ale,4.23,5624,,2.9
3,3,4,Irish Pale Ale,3,3.5,Leffe Blonde,6.51,2137,,3.3
3,2.5,3.5,Irish Red Ale,3,3.5,Kilgubbin Red Ale,4.6,2778,,3.1
3,2.5,3,Irish Red Ale,3,3,Jack Russell Irish Red Ale,6.19,8828,,2.9
2.5,2.5,4,Irish Dry Stout,2,2.5,Murphy's Irish Stout,5.05,703,,2.6
2.5,3,2.5,Irish Dry Stout,3,2.5,O'Hara's Irish Stout,6.39,1751,,2.8
2,1.5,2,Irish Red Ale,2,2,Murphy's Irish Red Beer,6.47,913,,1.9
3.5,2.5,4,Irish Lager,4,3.5,Samuel Adams Boston Lager,7.21,104,,3.5
3.5,3.5,4,Irish Lager,3,3,Samuel Adams Boston Lager,5.64,104,,3.3
4,3.5,4,Irish Pale Ale,4,4,Rare Vos (Amber Ale),3.89,593,,3.9
5,3,3.5,Irish Cream Ale,4,4,Sweet Action,6.12,22193,,3.7
5,4,4,Irish Lager,4.5,5,Blue Point Toasted Lager,4.83,2318,,4.5
4.5,3.5,5,Irish Pale Ale,4.5,4.5,Dernière Volonté,6.27,18272,,4.4
4.5,4,5,Irish Lager,5,4.5,Great Lakes Eliot Ness,6.3,229,,4.6
4.5,3,3,Irish Pale Ale,4,3.5,Leffe Blonde,6.98,2137,,3.4
4,4,4.5,Irish Pale Ale,3.5,4,Orval Trappist Ale,5.98,129,,4
4,3.5,5,Irish Pale Ale,5,3.5,Maredsous 6 - Blonde,8.05,6972,,4.2
3,4,4,Irish Pale Ale,2,3,Old Dominion Spring Buck,7.63,40797,,3.1
4,3,4,Irish Red Ale,3.5,3.5,Harpoon Celtic Ale,4.27,47298,,3.5
2.5,2.5,4,Irish Cream Ale,3,2.5,Founders Bourbon Apple Irish Cream Ale,6.37,60661,,2.9
4,3.5,4.5,Irish Pale Ale,4,4,Brewer's Art Zodiac,5.61,54327,,4
3.5,4,3,Irish Lager,3,3.5,Blue Point Toasted Lager,6.25,2318,,3.4
4,4.5,4.5,Irish Lager,4.5,4,Great Lakes Eliot Ness,6.86,229,,4.3
4,3.5,3,Irish Lager,4,4,Oktoberfest,5.62,13824,,3.7
3.5,3.5,3,Irish Cream Ale,3,3.5,Pete's Wicked Wanderlust Irish Cream Ale,5.19,19950,,3.3
3,3.5,4,Irish Pale Ale,3,3.5,Impala Ale,5.46,61692,,3.5
5,4.5,4.5,Irish Pale Ale,4.5,5,Leffe Blonde,6.22,2137,,4.7
4.5,4,4.5,Irish Lager,4,4,Samuel Adams Boston Lager,5.15,104,,4.1
4,3.5,4,Irish Pale Ale,3.5,3.5,Palm / Palm Speciale,6.32,2823,,3.6
4,3.5,4,Irish Cream Ale,3.5,3.5,Thomas Hooker Blonde Ale,8.44,9801,,3.6
4,4,4,Irish Red Ale,4,4,Thomas Hooker Irish Style Red Ale,7.23,7492,,4
3.5,3.5,4,Irish Red Ale,3.5,3.5,Samuel Adams Irish Red,4.29,38365,,3.6
4.5,4,4.5,Irish Pale Ale,4,4.5,Orval Trappist Ale,5.7,129,,4.2
4,4,4,Irish Lager,4,4,Samuel Adams Boston Lager,4.35,104,,4
3,2,4,Irish Lager,3,3,Dos Equis Amber Lager,5.5,171,,3
4.5,4.5,4.5,Irish Pale Ale,4.5,4.5,Flat Earth Belgian-Style Pale Ale,6.39,35339,,4.5
4,3.5,4,Irish Extra Stout,4.5,4,Stout,5.79,41862,,4
4,4,3.5,Irish Pale Ale,4,4.5,Orval Trappist Ale,6.22,129,,4.1
4,3.5,3.5,Irish Cream Ale,4,3.5,Genesee Irish Cream Ale,5.3,1376,,3.6
4,3.5,4,Irish Pale Ale,3.5,4.5,Convention Ale,6.57,44257,,3.9
4,3,3.5,Irish Cream Ale,4,4,Thomas Hooker Blonde Ale,5.27,9801,,3.7
5,4.5,4,Irish Pale Ale,4.5,4.5,Rare Vos (Amber Ale),5.38,593,,4.4
4.5,2,4.5,Irish Pale Ale,4,4,Leffe Blonde,6.19,2137,,3.6
5,3.5,4,Irish Lager,3,4.5,Samuel Adams Boston Lager,5.16,104,,3.8
5,5,4.5,Irish Lager,4.5,5,Blue Point Toasted Lager,4.62,2318,,4.8
5,4.5,4.5,Irish Red Ale,5,5,O'Hara's Irish Red,5.75,22181,,4.8
4,3,4,Irish Cream Ale,4.5,4,Sweet Action,4.83,22193,,3.9
3.5,3.5,3,Irish Lager,3,3.5,Samuel Adams Boston Lager,4.3,104,,3.3
4.5,4,4,Irish Pale Ale,4.5,4.5,Rare Vos (Amber Ale),4.26,593,,4.3
4,4,4,Irish Pale Ale,4,3.5,Fleur,5.38,50276,,3.8
4,4,4,Irish Cream Ale,4,4.5,Sweet Action,6.16,22193,,4.2
4,3.5,4,Irish Red Ale,4,4,Samuel Adams Irish Red,4.72,38365,,3.9
4,4.5,4,Irish Pale Ale,4.5,4.5,Orval Trappist Ale,4.63,129,,4.4
3.5,3.5,3.5,Irish Cream Ale,3,3.5,Spotted Cow,6.12,1963,,3.4
3.5,3.5,4,Irish Lager,4,3.5,Samuel Adams Boston Lager,4.9,104,,3.7
3.5,3.5,4,Irish Dry Stout,3.5,4,Out Of Bounds Stout,5.92,1830,,3.7
3.5,4,4,Irish Pale Ale,3.5,3.5,Lips Of Faith - Le Fleur Misseur?,3.3,42943,,3.7
3.5,3.5,3.5,Irish Pale Ale,3.5,4,Leffe Blonde,2.87,2137,,3.7
3.5,3.5,4,Irish Red Ale,4,4,Great Lakes Conway's Irish Ale,4.59,5096,,3.9
3.5,4,4,Irish Pale Ale,4,3.5,Augustijn Blond,4.52,54453,,3.8
3,3.5,3.5,Irish Red Ale,3,3,O'Hara's Irish Red,7.19,22181,,3.2
5,5,5,Irish Pale Ale,5,5,Orval Trappist Ale,6.54,129,,5
4.5,3.5,4,Irish Pale Ale,4.5,5,Harpoon Abbey Style Ale (100 Barrel Series #03),6.93,13455,,4.3
4,3,3,Irish Lager,3.5,3.5,Victoria,5.84,6508,,3.3
4,3.5,4,Irish Pale Ale,4,3.5,Thyssens Amsterdam Blonde Ale,6.37,18936,,3.7
4,3.5,4,Irish Lager,4,3.5,Samuel Adams Boston Lager,5.42,104,,3.7
4,4,4,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),4.41,593,,4.2
4,3.5,4,Irish Dry Stout,4,4,Murphy's Irish Stout,5.02,703,,3.9
4,4,4.5,Irish Pale Ale,4,4.5,Leffe Blonde,6.43,2137,,4.2
4,3.5,3.5,Irish Cream Ale,4,4,Genesee Irish Cream Ale,6.09,1376,,3.8
4,3.5,4,Irish Dry Stout,3.5,3.5,Black 47 Stout,6.21,1255,,3.6
3.5,3.5,4,Irish Pale Ale,4,3.5,Caulier Saaz Ale,5.77,14980,,3.7
2,3,4,Irish Pale Ale,3,3,The Knight's Ale,6.61,2503,,3.2
4.5,3,4.5,Irish Dry Stout,4,4,Sin City Stout,5.03,36383,,3.9
4,4,4,Irish Pale Ale,4.5,4,Stumbling Monk,5.39,4806,,4.1
4,4,3.5,Irish Lager,3.5,4,Samuel Adams Boston Lager,5.02,104,,3.8
3.5,4,3.5,Irish Dry Stout,4,3.5,Friend Of An Irishman Stout,6.85,48344,,3.8
3.5,3.5,4,Irish Lager,3.5,4,Oktoberfest,2.81,13824,,3.7
2.5,2,2,Irish Pale Ale,3,3.5,X-Mas Zinnebir,5.74,40001,,2.8
5,4.5,4.5,Irish Cream Ale,4.5,5,Spotted Cow,5.64,1963,,4.7
4.5,3.5,3.5,Irish Lager,3.5,3.5,Dos Equis Amber Lager,4.03,171,,3.5
4.5,4.5,4,Irish Red Ale,4.5,4,Thomas Hooker Irish Style Red Ale,4.42,7492,,4.3
4.5,3,4.5,Irish Pale Ale,4,4,Old Dominion Spring Buck,5.63,40797,,3.9
3.5,3,4,Irish Pale Ale,3,3,Confounded Mr. Sisyphus,6.31,50536,,3.2
4.5,4,4.5,Irish Pale Ale,4.5,4,Rare Vos (Amber Ale),6.35,593,,4.2
4.5,3.5,4.5,Irish Lager,3.5,4,Blue Point Toasted Lager,4.67,2318,,3.8
4,3.5,3.5,Irish Lager,3.5,3.5,Samuel Adams Boston Lager,7.42,104,,3.5
4,4,4.5,Irish Pale Ale,4,4,"Luciérnaga, The Firefly",6.3,20524,,4.1
4,4,4,Irish Pale Ale,3.5,4,Leffe Blonde,6.79,2137,,3.9
4,4.5,3.5,Irish Dry Stout,4.5,4,Gritty McDuff's Black Fly Stout,5.51,1149,,4.2
2.5,3,2.5,Irish Cream Ale,2.5,3,Spotted Cow,5.44,1963,,2.8
5,5,5,Irish Red Ale,5,5,Kilkenny Irish Irish Cream Ale,6.67,3628,,5
4.5,4,4,Irish Pale Ale,4.5,4.5,Porch Swing Single Ale,5.68,1916,,4.3
4.5,4.5,4.5,Irish Dry Stout,4.5,4.5,Murphy's Irish Stout,5.52,703,,4.5
4.5,3.5,3.5,Irish Red Ale,4.5,4,Red Trolley Ale,5.34,6428,,3.9
4,4,4,Irish Cream Ale,4,3.5,Summer Solstice Cerveza Crema,4.59,23506,,3.8
4,4,4.5,Irish Pale Ale,4,4,Loft,5.64,5170,,4.1
4,4,4,Irish Pale Ale,4,3.5,Leffe Blonde,4.19,2137,,3.8
3.5,4,4,Irish Pale Ale,4,3.5,Karma,6.79,23042,,3.8
3.5,4,4,Irish Pale Ale,3,3.5,Mad Belgian,5.46,51729,,3.6
3,3.5,4,Irish Pale Ale,3.5,3,Bruegel Amber Ale,6.51,1645,,3.4
3,4,3.5,Irish Pale Ale,2.5,3,Black Diamond Free Style Belgian Blonde Ale,4.5,36003,,3.2
3,3.5,3.5,Irish Pale Ale,3.5,3,Abbey Gale Ale,5.24,38203,,3.3
3,3,3,Irish Cream Ale,3,2.5,Kiwanda Irish Cream Ale,7.04,8948,,2.8
3,3,3,Irish Pale Ale,3.5,3,Springboard,5.85,34717,,3.1
3,3,3.5,Irish Cream Ale,3,3,Pete's Wicked Wanderlust Irish Cream Ale,4.93,19950,,3.1
3,3,4,Irish Lager,3,3,Samuel Adams Boston Lager,5.29,104,,3.2
2.5,2,3,Irish Pale Ale,2,2,Rare Vos (Amber Ale),5.48,593,,2.2
2.5,3,3.5,Irish Pale Ale,3,2.5,Raftman,5.81,793,,2.9
2.5,3,3,Irish Red Ale,2.5,2.5,Murphy's Irish Red Beer,5.13,913,,2.7
2,4,4,Irish Pale Ale,2,2,Orval Trappist Ale,6.81,129,,2.8
2,2,3,Irish Lager,2,2,Dos Equis Amber Lager,5.17,171,,2.2
3.5,3,4,Irish Lager,3.5,4,Blue Point Toasted Lager,5.45,2318,,3.6
4.5,4.5,4,Irish Lager,4.5,4.5,Great Lakes Eliot Ness,4.89,229,,4.4
4.5,4,4.5,Irish Pale Ale,4.5,4.5,Southampton Abbey Single,3.36,8534,,4.4
4,4,3.5,Irish Pale Ale,4,4,Raftman,5.48,793,,3.9
3,3,3,Irish Pale Ale,3,3,Leffe Blonde,7.41,2137,,3
4,3.5,3.5,Irish Red Ale,3,3.5,Harpoon Celtic Ale,7.08,47298,,3.4
4.5,4.5,4.5,Irish Dry Stout,4.5,4.5,Dark Starr Stout,4.51,29995,,4.5
4.5,4,5,Irish Pale Ale,4.5,4.5,Orval Trappist Ale,4.99,129,,4.5
5,3.5,3.5,Irish Lager,4.5,4,Samuel Adams Boston Lager,7.01,104,,3.9
2.5,4,4,Irish Pale Ale,3.5,3,Orval Trappist Ale,4.99,129,,3.5
4.5,3.5,4,Irish Lager,3.5,4,Blue Point Toasted Lager,6.04,2318,,3.7
5,5,5,Irish Dry Stout,5,5,Hale's Cream Stout,5.9,41337,,5
5,5,4,Irish Pale Ale,4,4.5,Springboard,4.3,34717,,4.4
4,4,4.5,Irish Lager,3,4,Samuel Adams Boston Lager,5.44,104,,3.8
4,3,3,Irish Lager,4,3.5,Dos Equis Amber Lager,5.51,171,,3.4
4.5,3.5,5,Irish Pale Ale,3,3,Leffe Blonde,5.1,2137,,3.5
4.5,4,4,Irish Lager,4,4.5,Samuel Adams Boston Lager,4.86,104,,4.2
4,4,2.5,Irish Red Ale,4,4.5,Samuel Adams Irish Red,6.62,38365,,3.9
3.5,3,4,Irish Red Ale,3.5,3.5,Irish Red,5.94,14482,,3.5
5,3.5,3.5,Irish Lager,3.5,4,Samuel Adams Boston Lager,4.77,104,,3.7
4,3.5,4,Irish Red Ale,3.5,4,Samuel Adams Irish Red,4.48,38365,,3.7
3.5,3,3,Irish Cream Ale,3.5,3,Genesee Irish Cream Ale,6.35,1376,,3.1
4.5,4.5,4.5,Irish Pale Ale,4.5,4.5,Orval Trappist Ale,6.88,129,,4.5
5,4,5,Irish Pale Ale,4.5,4.5,Maredsous 6 - Blonde,4.72,6972,,4.5
4.5,4,4,Irish Pale Ale,4,4,Liquid Gold,5.31,28179,,4
4.5,4,4,Irish Pale Ale,4.5,5,Rare Vos (Amber Ale),6.46,593,,4.5
4.5,4.5,3.5,Irish Pale Ale,4,4,Demolition,6.22,49003,,4
4.5,4,4,Irish Pale Ale,3.5,4.5,Fleur,5.77,50276,,4
4,4,4,Irish Lager,4,3.5,Samuel Adams Boston Lager,4.72,104,,3.8
4,4,4,Irish Pale Ale,4,4.5,Orval Trappist Ale,6.34,129,,4.2
4,4,4.5,Irish Pale Ale,4,4,Ommegang BPA (Belgian-style Pale Ale),5.48,56875,,4.1
4,3,4,Irish Pale Ale,4,3.5,Hitachino Nipponia,6.56,61007,,3.6
3.5,3,3,Irish Pale Ale,4.5,3.5,Leffe Blonde,6.8,2137,,3.6
3.5,4,4,Irish Pale Ale,3,4,Duvel Single,5.99,45379,,3.7
3.5,3,3,Irish Pale Ale,3.5,3.5,Cuvee BXL,6.35,66936,,3.3
4,4,4,Irish Red Ale,4,4.5,Uncle Arnie's Irish Red,6.29,61218,,4.2
4.5,4,4.5,Irish Pale Ale,4.5,4.5,Leffe Blonde,7.12,2137,,4.4
4,4,5,Irish Pale Ale,3.5,3.5,Orval Trappist Ale,5.6,129,,3.9
4,4.5,4,Irish Extra Stout,3.5,4.5,Harpoon Island Creek Oyster Stout (100 Barrel Series #30),7.43,55547,,4.1
3.5,4,4.5,Irish Pale Ale,3.5,3.5,Rare Vos (Amber Ale),7.15,593,,3.8
3.5,3.5,4,Irish Lager,4,4,Great Lakes Eliot Ness,5.85,229,,3.9
3,3.5,4,Irish Lager,3,3.5,Harpoon Pott's Landbier (100 Barrel Series #32),5.53,58924,,3.5
4,3.5,3.5,Irish Lager,3.5,4,Samuel Adams Boston Lager,5.91,104,,3.7
2.5,2.5,4,Irish Pale Ale,3,2,Leffe Blonde,5.66,2137,,2.8
5,4,4,Irish Pale Ale,4,5,Loft,4.11,5170,,4.3
4.5,4,4,Irish Pale Ale,4,4,Harpoon Abbey Style Ale (100 Barrel Series #03),6.46,13455,,4
4.5,4,5,Irish Pale Ale,4,4,Orval Trappist Ale,5.53,129,,4.2
4,4,4,Irish Dry Stout,3.5,3.5,Black 47 Stout,5.58,1255,,3.7
4,4.5,4,Irish Dry Stout,5,5,Arbor Brewing Faricy Fest Irish Stout,6.44,5134,,4.7
4,4,4,Irish Cream Ale,4,4,Spotted Cow,7.74,1963,,4
4,4,4,Irish Lager,4,4,Squatters Irish Lager,5.18,3795,,4
4,4,4,Irish Pale Ale,4,4,Dragonmead Bronze Griffin Irish Pale Ale,5.78,5427,,4
4,4,4,Irish Dry Stout,4,4,County Cork's Irish Stout,6.63,5161,,4
4,4,4,Irish Red Ale,4,4,Casco Bay RipTide Red Ale,6.04,714,,4
3.5,4,4,Irish Extra Stout,3,3,Strike Out Stout,5.65,178,,3.4
3.5,3.5,4,Irish Red Ale,2.5,2,Red Rock Irish Ale,5.62,5624,,2.8
3.5,3.5,4,Irish Dry Stout,4,2.5,Dry Stout,5.37,3277,,3.4
1.5,2.5,3.5,Irish Lager,2.5,1,Red Rock Irish Lager,5.99,5623,,2.2
4,3.5,4,Irish Pale Ale,3.5,3.5,Leffe Blonde,6.13,2137,,3.6
4,4,4,Irish Pale Ale,4,4,Golden Ale,8.25,18685,,4
3,2,4.5,Irish Red Ale,4,3,Kilkenny Irish Irish Cream Ale,5.25,3628,,3.3
3,3,4,Irish Pale Ale,4,3,Raftman,4.98,793,,3.5
3,4,4,Irish Pale Ale,3,3.5,Orval Trappist Ale,5.89,129,,3.6
4.5,3,4.5,Irish Extra Stout,4.5,4.5,Stout,5.6,41862,,4.2
3.5,3,3,Irish Lager,3.5,3.5,Amber,5.08,5,,3.3
3,3,4,Irish Dry Stout,3.5,3,Murphy's Irish Stout,4.56,703,,3.3
4.5,4,4.5,Irish Pale Ale,4.5,4.5,Rare Vos (Amber Ale),6.12,593,,4.4
4,3.5,3.5,Irish Lager,4,4,LIDO Speci&#257;lais,5.81,44459,,3.8
3.5,3.5,3.5,Irish Pale Ale,3.5,3.5,Stone Soup,4.08,35281,,3.5
4,5,4,Irish Pale Ale,4,3.5,Leffe Blonde,7.08,2137,,4.1
3.5,3,4.5,Irish Red Ale,3.5,3,Murphy's Irish Red Beer,5.56,913,,3.4
3.5,4.5,3.5,Irish Dry Stout,4,4,Out Of Bounds Stout,4.74,1830,,4
3.5,4,3,Irish Extra Stout,3.5,4,Hopback Entire Stout,5.85,5788,,3.7
3,4,4,Irish Pale Ale,3.5,3.5,"Luciérnaga, The Firefly",5.95,20524,,3.7
3,3,4,Irish Dry Stout,4,3.5,Gritty McDuff's Black Fly Stout,4.53,1149,,3.6
1,2,4,Irish Pale Ale,3,2,Orval Trappist Ale,5.34,129,,2.6
4,3.5,4,Irish Dry Stout,3.5,4,Out Of Bounds Stout,5.68,1830,,3.7
4,3.5,3.5,Irish Red Ale,4,3.5,Great Lakes Conway's Irish Ale,6.13,5096,,3.6
3.5,3.5,3.5,Irish Pale Ale,4,3.5,Saranac Belgian Ale,4.82,26617,,3.6
3.5,3,3,Irish Lager,3,3,Dos Equis Amber Lager,5.32,171,,3
4,3,4,Irish Lager,3.5,3.5,Saranac Winter Lager,6.36,53199,,3.5
4,3.5,4,Irish Lager,4,4,Samuel Adams Boston Lager,5.27,104,,3.9
4,4,3.5,Irish Pale Ale,4,4.5,Ommegang BPA (Belgian-style Pale Ale),5.3,56875,,4.1
4,3.5,4,Irish Dry Stout,4,4.5,Gritty McDuff's Black Fly Stout,6.22,1149,,4
4,3.5,3,Irish Pale Ale,3,4,Belgian Gold,6.59,66898,,3.4
3.5,3.5,3.5,Irish Red Ale,3,3.5,Saranac Irish Red Ale,7.17,43835,,3.4
3.5,4,4,Irish Pale Ale,3.5,4,Leffe Blonde,3.01,2137,,3.9
3,3,4,Irish Red Ale,3,3.5,Samuel Adams Irish Red,4.86,38365,,3.3
3,3.5,4,Irish Pale Ale,3,3,Saranac Belgian Ale,6.39,26617,,3.3
4.5,4.5,4,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),5.45,593,,4.3
4,4,3.5,Irish Lager,4,4.5,Samuel Adams Boston Lager,5.77,104,,4.1
3.5,3.5,4,Irish Dry Stout,3,3,Snake Chaser,6.74,15884,,3.3
4.5,4,4.5,Irish Pale Ale,4.5,4.5,Orval Trappist Ale,6.19,129,,4.4
4,4,4,Irish Dry Stout,4,4,Stouterik,4.84,38707,,4
3.5,3.5,4,Irish Pale Ale,4,3.5,Westmalle Trappist Extra,6.42,16658,,3.7
4,4,3.5,Irish Lager,3,4,Samuel Adams Boston Lager,5.07,104,,3.6
4,4.5,4,Irish Pale Ale,4,4.5,Raftman,4.12,793,,4.3
4,3.5,4,Irish Lager,4,4,Dos Equis Amber Lager,6.68,171,,3.9
4,3.5,4,Irish Red Ale,3.5,4,Samuel Adams Irish Red,6.32,38365,,3.7
3.5,3,3,Irish Lager,3,3.5,Amber,6.03,5,,3.2
3.5,3.5,4,Irish Pale Ale,4,3.5,Bruegel Amber Ale,4.33,1645,,3.7
